file,pipeline,horizon,model,site,n,q_pool,n90_pool,mae90_pool_thr,q_site,n90_site,mae90_site_thr
tabular_h24_linear_svr.csv,tabular,h24,linear_svr,"Satet International School, Tema Manhean",673,59.6,107,51.34555572599767,69.6,69,62.97339759701954
tabular_h24_linear_svr.csv,tabular,h24,linear_svr,Tema Community 25 Estate,673,59.6,13,65.92845745261774,43.3,70,41.76490438687578
tabular_h24_linear_svr.csv,tabular,h24,linear_svr,Tema Community 3 SSNIT Flat,672,59.6,64,60.8589988204603,58.37,68,59.50766588921335
tabular_h24_linear_svr.csv,tabular,h24,linear_svr,"Tema Community 7, Royal School",673,59.6,68,53.337572393811875,59.66,68,53.337572393811875
tabular_h24_linear_svr.csv,tabular,h24,linear_svr,Tema Port,673,59.6,50,47.13412154634109,55.98,68,42.94900028138281
tabular_h24_naive_level.csv,tabular,h24,naive_level,"Divine healer's Church, Bethlehem",673,59.6,104,29.261538461538464,65.1,69,35.6927536231884
tabular_h24_naive_level.csv,tabular,h24,naive_level,"Satet International School, Tema Manhean",673,59.6,107,37.702803738317755,69.6,69,47.10579710144926
tabular_h24_naive_level.csv,tabular,h24,naive_level,Tema Community 25 Estate,673,59.6,13,53.60000000000001,43.3,70,21.864285714285714
tabular_h24_naive_level.csv,tabular,h24,naive_level,Tema Community 3 SSNIT Flat,672,59.6,64,40.116796875000006,58.37,68,38.267279411764704
tabular_h24_naive_level.csv,tabular,h24,naive_level,"Tema Community 7, Royal School",673,59.6,68,35.68529411764706,59.66,68,35.68529411764706
tabular_h24_naive_level.csv,tabular,h24,naive_level,Tema Port,673,59.6,50,25.306000000000004,55.98,68,21.38823529411765
tabular_h24_rf.csv,tabular,h24,rf,"Divine healer's Church, Bethlehem",673,59.6,104,22.671702122752052,65.1,69,30.577966623819165
tabular_h24_rf.csv,tabular,h24,rf,"Satet International School, Tema Manhean",673,59.6,107,24.727115643787325,69.6,69,32.493616565869864
tabular_h24_rf.csv,tabular,h24,rf,Tema Community 25 Estate,673,59.6,13,35.32783688035856,43.3,70,12.609485351352717
tabular_h24_rf.csv,tabular,h24,rf,Tema Community 3 SSNIT Flat,672,59.6,64,35.69409024151295,58.37,68,34.052615733699426
tabular_h24_rf.csv,tabular,h24,rf,"Tema Community 7, Royal School",673,59.6,68,28.713090923164287,59.66,68,28.713090923164287
tabular_h24_rf.csv,tabular,h24,rf,Tema Port,673,59.6,50,25.569720054960406,55.98,68,21.741558479984082
tabular_h24_ridge_ar_lag_fourier.csv,tabular,h24,ridge_ar_lag_fourier,"Divine healer's Church, Bethlehem",673,59.6,104,29.986973397176623,65.1,69,38.269633135816115
tabular_h24_ridge_ar_lag_fourier.csv,tabular,h24,ridge_ar_lag_fourier,"Satet International School, Tema Manhean",673,59.6,107,34.2208197701864,69.6,69,44.71538332542587
tabular_h24_ridge_ar_lag_fourier.csv,tabular,h24,ridge_ar_lag_fourier,Tema Community 25 Estate,673,59.6,13,48.793350098692045,43.3,70,26.130712199033997
tabular_h24_ridge_ar_lag_fourier.csv,tabular,h24,ridge_ar_lag_fourier,Tema Community 3 SSNIT Flat,672,59.6,64,45.95368043172275,58.37,68,44.5314813370114
tabular_h24_ridge_ar_lag_fourier.csv,tabular,h24,ridge_ar_lag_fourier,"Tema Community 7, Royal School",673,59.6,68,35.434375406876036,59.66,68,35.434375406876036
tabular_h24_ridge_ar_lag_fourier.csv,tabular,h24,ridge_ar_lag_fourier,Tema Port,673,59.6,50,34.18118548377099,55.98,68,30.693046080793156
tabular_h24_seasonal_naive_168h.csv,tabular,h24,seasonal_naive_168h,"Divine healer's Church, Bethlehem",673,59.6,104,,65.1,69,
tabular_h24_seasonal_naive_168h.csv,tabular,h24,seasonal_naive_168h,"Satet International School, Tema Manhean",673,59.6,107,32.91869158878505,69.6,69,38.69130434782609
tabular_h24_seasonal_naive_168h.csv,tabular,h24,seasonal_naive_168h,Tema Community 25 Estate,673,59.6,13,43.369230769230775,43.3,70,23.062142857142856
tabular_h24_seasonal_naive_168h.csv,tabular,h24,seasonal_naive_168h,Tema Community 3 SSNIT Flat,672,59.6,64,37.6078125,58.37,68,36.92205882352942
tabular_h24_seasonal_naive_168h.csv,tabular,h24,seasonal_naive_168h,"Tema Community 7, Royal School",673,59.6,68,31.096323529411766,59.66,68,31.096323529411766
tabular_h24_seasonal_naive_168h.csv,tabular,h24,seasonal_naive_168h,Tema Port,673,59.6,50,24.026,55.98,68,22.494117647058818
tabular_h24_seasonal_naive_24h.csv,tabular,h24,seasonal_naive_24h,"Divine healer's Church, Bethlehem",673,59.6,104,31.158653846153847,65.1,69,37.462318840579705
tabular_h24_seasonal_naive_24h.csv,tabular,h24,seasonal_naive_24h,"Satet International School, Tema Manhean",673,59.6,107,35.59345794392523,69.6,69,42.798550724637686
tabular_h24_seasonal_naive_24h.csv,tabular,h24,seasonal_naive_24h,Tema Community 25 Estate,673,59.6,13,48.07692307692308,43.3,70,21.851428571428578
